大カテゴリ,中カテゴリ,具体的なタスク,,,なーすけ(演者),おしりちゃん(PM),秘書・進行(★新規),経理・BO(★新規),運用・クリエイティブ(★新規),ショート編集(★新規),アナリスト(★新規),YouTube長尺編集(★新規)
1. 戦略・企画,方針策定,★ チャンネルKPI（再生数・収益）の策定・予実管理,,,A,C,-,-,-,-,R,-
1. 戦略・企画,方針策定,★ 競合・トレンドのリサーチ（急上昇・サムネ傾向）,,,I,I,-,-,-,-,R,-
1. 戦略・企画,会議・構成,毎週企画会議の開催・ファシリテーション,,,-,R,S,-,-,-,-,-
1. 戦略・企画,会議・構成,企画会議レジメ作成（進捗・PR日程まとめ）,,,-,A,R,-,-,-,-,-
1. 戦略・企画,会議・構成,★ 通常動画のネタ出し・企画ストック,,,R,C,-,-,-,-,R,-
1. 戦略・企画,会議・構成,★ 構成台本・絵コンテ作成（冒頭・オチの設計）,,,R,C,-,-,-,-,-,-
2. 案件管理,営業・契約,新規案件の問い合わせ対応・一次返信,,,-,R,-,-,-,-,-,-
2. 案件管理,営業・契約,★ 条件交渉・見積もり作成・提出,,,-,A,R,-,-,-,-,-
2. 案件管理,営業・契約,★ 契約書締結・リーガルチェック・捺印管理,,,-,A,-,R,-,-,-,-
2. 案件管理,営業・契約,★ 請求書発行・送付（企業案件）,,,-,-,R,-,-,-,-,-
2. 案件管理,進行管理,オリエンシートの確認・演者への要約共有,,,I,C,R,-,-,-,-,-
2. 案件管理,進行管理,PR商品の手配・受け取り・在庫管理,,,-,I,R,-,-,-,-,-
2. 案件管理,進行管理,撮影・MTG日程の調整（企業⇔演者間）,,,R,I,-,-,-,-,-,-
2. 案件管理,進行管理,構成案・動画初稿の企業確認依頼・修正管理,,,R,C,-,-,-,-,-,-
3. 制作準備,ロジ周り,撮影場所（ジム等）のリサーチ・アポ・申請,,,I,I,R,-,-,-,-,-
3. 制作準備,ロジ周り,撮影スケジュールのカレンダー登録・共有,,,-,I,R,-,-,-,-,-
3. 制作準備,ロジ周り,★ ゲスト出演依頼・DM送信・条件調整,,,R,-,R,-,-,-,-,-
3. 制作準備,ロジ周り,★ 交通手段・宿泊の手配（遠征時）,,,I,I,R,-,-,-,-,-
3. 制作準備,機材・備品,★ 機材準備（バッテリー充電・SD残量確認）,,,-,I,R,-,-,-,-,-
3. 制作準備,機材・備品,★ 消耗品（電池・テープ等）の在庫管理・補充,,-,-,-,-,-,-,-,-,-
3. 制作準備,機材・備品,★ 香盤表（当日の進行表）作成,,-,-,-,-,-,-,-,-,-
4. 撮影,収録,長尺動画の撮影・ディレクション,,,R,-,-,-,-,-,-,-
4. 撮影,収録,ショート動画の撮影,,,R,-,-,-,-,-,-,-
4. 撮影,収録,サムネイル用の写真撮影（ポーズ指定）,,,R,A,-,-,C,-,-,-
4. 撮影,データ・金銭,★ 現場での発生費用（駐車場・飲食）記録,,,-,-,-,-,-,-,-,-
4. 撮影,データ・金銭,★ 撮影データのバックアップ・クラウド保存,,,-,-,R,-,-,-,-,-
5. 編集・制作,素材管理,編集者への素材データ共有（アップロード）,,,I,-,R,-,-,-,-,-
5. 編集・制作,素材管理,★ 過去素材（BGM・ロゴ・画像）の整理・提供,,,-,-,R,-,-,-,-,-
5. 編集・制作,ショート編集,ショート動画のカット割・構成案作成,,,A,C,-,-,-,R,-,-
5. 編集・制作,ショート編集,ショート動画の編集（テロップ・エフェクト）,,,A,-,-,-,-,R,-,-
5. 編集・制作,長尺編集,長尺動画の本編集（テロップ・BGM・色調）,,,-,C/I,-,-,-,-,-,R
5. 編集・制作,長尺編集,モザイク処理・権利関係チェック,,,-,C/I,-,-,-,-,-,R
5. 編集・制作,チェック,初稿チェック・タイムコード付き修正指示,,,-,C/I,-,-,-,-,-,R
5. 編集・制作,サムネイル,サムネ素材選定・スクショ・補正,,,-,A,-,-,R,-,-,-
5. 編集・制作,サムネイル,サムネデザイン作成（文字入れ・装飾）,,,-,A,-,-,R,-,-,-
6. 公開・運用,YouTube,YouTube Studioへのアップロード,,,A,I,-,-,R,-,-,-
6. 公開・運用,YouTube,メタデータ設定（タイトル・概要欄・タグ）,,,I,-,-,-,R,-,-,-
6. 公開・運用,YouTube,★ 終了画面・カード・字幕設定,,,I,-,-,-,R,-,-,-
6. 公開・運用,YouTube,★ 収益化設定・広告チェック・制限確認,,,I,-,-,-,R,-,-,-
6. 公開・運用,YouTube,★ コミュニティ投稿（画像・アンケート）,,,I,-,-,-,R,-,-,-
