カテゴリ,項目,内容,メモ
共通,,,
,前提条件（3制作物すべてに効く）,,
,,使うのは大会当日（4日分）。配布や表彰で使う。,
,,現場が楽になるので、できれば大会の1ヶ月前までに届いて、チェックと仕分けまで終わらせたい。,
,,目標：2026/07/22 までに届いている状態にする（遅れないための早め設定）。,
,,去年の発注の記録を集める（見積→発注→納品がいつだったか）。今年のスケジュールの根拠にする。,
,,工程を細かく分けて、各工程に『何日かかるか』を出す（去年の実績を参考）。,
,,今年お願いする会社を確認する（デザイン／製作／印刷）。決まっていなければ『選ぶ期限』を決める。’,
,未確定で決める必要があること,,
,,検品と仕分けを『誰が・どこで・いつやるか』を決める。,"検品と仕分け
誰が：神保さん
どこで：日吉
いつやるか：到着次第3日以内"
,,大会の開催日（関東／関西それぞれ）,"2026年8月15日（土）・8月16日（日） 　📍藤井寺市立市民総合会館（パープルホール） 
2026年9月22日（火・祝）・9月23日（水・祝） 　📍ひらしん平塚文化芸術ホール"
パンフレット,,,
,確定していること,,
,,パンフは『関東版／関西版』の2種類を作る予定。,「大枠は同じ」だが、大会ごとに違う情報のみ変更する想定
,,パンフに協賛企業のロゴを載せる。,
,,共有されている画像は参考（AIイメージ）。色やデザインは確定ではない。,
,,パンフのデザインはIDAさんが担当。,すでに 「データ納期：3月末」 と伝達済み
,未確定／要確認,,
,,パンフに何を載せるか（内容・項目）,
,,IDAさんの担当範囲,IDAさんに確認する必要あり
,,関東と関西で『どこが違うか』を洗い出す。,"デザインの大枠は共通（表紙のデザイン、レイアウト）
大会別（大会日程や大会名、タイムテーブル、会場MAP、注意事項、スポンサー枠）"
,,協賛ロゴの『確定締切』と『最新版の置き場』を決める（間違い掲載を防ぐ）。,
,,IDAさんの『3月末のデータ』が、初稿なのか最終OK版なのかをはっきりさせる。,
,遅延防止のための予防策,,
,,Notionは公開中なので書き込みNG。編集用に別ページ（複製など）が必要。,
,,大会別差分があるので、初期から “共通テンプレ＋差分差し替え”の作り方が前提になる,
,,協賛ロゴは後から変わりやすい。差し替えの締切日を早めに決める。,
バッジ,,,
,確定していること,,
,,過去データがGoogle Driveにある（参考にできる）。,
,,作成フローのシートがある（手順のたたき台がある）。,
,,2026年は種類を増やさず、デザインは1種類でよさそう。,
,,例年は白背景デザイン。,
,,番号（個別番号）は選手人数確定後に決定,
,,選手人数は 5/1 に確定,
,,使うのは大会当日（4日分）。,
,,運用上、大会1ヶ月前には届いて検品できると余裕がある,
,未確定／要確認,,
,,バッジの「番号」運用の詳細,"何番から何番まで＞1大会の選手数再確認
関東・関西で分けるのか＞4大会ごとに分ける
カテゴリー紐づけ有無＞ある
例：MOS Short（No.31〜58）　60まで　など"
,,仕分け単位,"日程別（4DAY分）
10個単位で分ける"
,,デザイン作業の担当（誰がやるか／外注か内製か）,デザイン：内製　イラストレーターを使用できる方
,遅延防止の制約,,
,,5/1以前にやるべきは「デザインの固定」「仕様・発注先の確定」「番号欄の設計」,
,,5/1以降に「最終数量＋番号反映→発注」の流れになる,
メダル,,,
,前提条件,,
,,最初は2025在庫で足りる想定だったが、足りないので発注する。,
,,デザインを2025と同じにするか、変えるかは未決定。,
,,2026年は1大会あたり6カテゴリー。,"「1種類24個あれば足りる」想定
いつも予備分も発注していた"
,,Want To Be の数は出場人数で変わる（4日分）。,
,,使うのは大会当日（4日分）。,
,未確定／要確認,,
,,2026で発注するメダルの“対象範囲”,"WTB出場人数紫音さんに確認する必要あり
1大会15名の場合は4大会で合計60個のため、発注なしでOK"
,,予備数の基準（過去踏襲か、今年は何％か）,
,,デザインを2025踏襲するか／変更するかの決裁者と決裁期限,新デザインの場合は型を作る必要があり、金額も時間もかかる
,遅延防止の制約,,
,,まず在庫を数える（種類別に良品が何個あるか）。,
,,デザイン変更の有無が未決定なので、「踏襲なら即発注」「変更ならデザイン工程追加」でスケジュールが二股になる前提,
