,,,,,,※やりたくないではなく、手放したらMVVの達成が早くできそう,,,,⚫︎＝単純作業　▲＝クライアントワーク
,現在の担当,現在の担当RACI振り分け,理想の担当,やっている行動,好き嫌い,手放したい,必要スキル,私がやります！,備考,外注
,なーすけ,なーすけ（R/A）神成（I/C）,なーすけ,撮影_長尺動画,好き・楽しい,自分でやります！,,,,
,なーすけ,なーすけ（R/A）神成（I/C）,なーすけ,撮影_ショート動画,好き・楽しい,自分でやります！,,,,
,なーすけ,なーすけ（R/A）神成（I）,なーすけ,カット割_ショート動画,好き・楽しい,手放したい,"ショート動画アルゴリズムの理解
編集スキル",栞,,
,なーすけ,なーすけ（R/A）神成（I/C）,なーすけ,全編集_ショート動画案件,好き・楽しい,手放したい,"ショート動画アルゴリズムの理解
編集スキル",,,▲
,なーすけ,なーすけ（R/A）,なーすけ,なーすけインスタグラム_日常ストーリー投稿,好き・楽しい,自分でやります！,,,,
,なーすけ,なーすけ（R/A）,なーすけ,なーすけインスタグラム_フィード投稿,好き・楽しい,自分でやります！,,,,
,なーすけ,なーすけ（R/A）神成（I/C）,なーすけ,なーすけインスタグラム_リール投稿,好き・楽しい,手放したい,,栞,,
,なーすけ,なーすけ（R/A）,なーすけ,なーすけX_定期更新,好き・楽しい,自分でやります！,,,,
,なーすけ,なーすけ（R/A）神成（I/C）,なーすけ,なーすけインスタグラム_VEATMストーリー更新,嫌い・苦手,自分でやります！,,,,
,"神保, 栞",神保（R）神成（R/A）なーすけ（C/I）,,企業やりとり_単発案件,嫌い・苦手,手放したい,"対社外向けのコミュニケーションスキル
案件の費用感の理解",,←神成が進められたらベストな気がしています！が、費用感や社外のコミュニケーション能力が乏しく、、現状むずかしそうです、、,▲
,栞,神成（R/A）なーすけ（I）,,なーすけYouTube_企業企画会議の参加,嫌い・苦手,手放したい,"対社外向けのコミュニケーションスキル
案件の費用感の理解",,←神成が進められたらベストな気がしています！が、費用感や社外のコミュニケーション能力が乏しく、、現状むずかしそうです、、,
,栞,神成（R/A）,,なーすけYouTube_コメント返信,嫌い・苦手,手放したい,"なーすけの言葉でShapeの言葉を伝える言語化能力
対視聴者向けのコミュニケーションスキル",栞,,
,栞,神成（R/A）なーすけ（I）,,"企業やり取り_長期契約案件
・動画公開日の共有、日程が合わない場合日程交渉
（VITAS、VEATM、極洋、Vanquish、Naturecan）",,手放したい,"・担当者の特徴や各企業ごとの主なやり取りの共有
・基本的なビジネスマナーのある文章の送信
・マメにやり取りができる。連絡は9時、18時の1日2回確認
　土日も至急の対応が必要なものは返信
・なーすけ対企業のやりとりもマメに確認できる
・撮影日程候補日をなーすけのカレンダーを見て、候補が出せる
・タイアップ動画は公開日の1日前に動画の共有など、
　期日に余裕を持って対応ができる
・自分たちのチャンネルの色を残しつつ、
　企業からの要望（PR画像の挿入、PR商品変更）などに
　柔軟に対応ができる",栞,,▲
,栞,神成（R/A）なーすけ（I）,,"企業やり取り_長期契約案件
・PR商品の手配
（VITAS、VEATM、極洋、Naturecan）",,手放したい,,栞,,▲
,栞,神成（R/A）なーすけ（I）,,"企業やり取り_長期契約案件
・PR商品の在庫をなーすけに確認
（VITAS、極洋、Naturecan）",,手放したい,,栞,,▲
,栞,神成（R/A）なーすけ（I）,,"企業やり取り_長期契約案件
・撮影の日程決め
（VEATM）",,手放したい,,栞,,▲
,栞,神成（R/A）なーすけ（I）,,"企業やり取り_長期契約案件
・撮影の詳細をなーすけに連絡
（VEATM）",,手放したい,,栞,,▲
,栞,神成（R/A）なーすけ（I）,,"企業やり取り_長期契約案件
・撮影の詳細をなーすけのGoogleカレンダーに入力
（VEATM）",,手放したい,,栞,,▲
,栞,神成（R/A）なーすけ（I）,,"企業やり取り_長期契約案件
・PR商品のオリエンシートでの確認
（Naturecan）",,手放したい,,栞,,▲
,栞,神成（R/A）なーすけ（I）,,"企業やり取り_長期契約案件
・PR商品のオリエンシートをなーすけに共有
（Naturecan）",,手放したい,,栞,,▲
,栞,神成（R/A）なーすけ（I）,,"企業やり取り_長期契約案件
・PR商品の月1回MTGの日程決め
（Naturecan）",,手放したい,,栞,,▲
,栞,神成（R/A）なーすけ（I）,,なーすけ対企業のやりとりで、なーすけの返信が1日以上ない場合にリマインド,,手放したい,,栞,,▲
,栞,神成（R/A）なーすけ（I）,,前月中にの動画内容と企業タイアップの日程決め,,手放したい,,栞,,▲
,栞,神成（R/A）,,"YouTubeGoogleカレンダーに撮影日、公開日入力
（YouTubeロング、ショート動画、PRインスタフィード、PRインスタストーリー）",,手放したい,,栞,,▲
,栞,神成（R/A）なーすけ（I）,,"なーすけカレンダーに撮影日の入力
（YouTubeロング、ショート動画、PRインスタフィード、PRインスタストーリー）",,手放したい,,栞,,▲
,栞,神成（R/A）,,"毎月企業PRストーリー作成
（極洋1本、Naturecan2本）",,手放したい,,栞,,▲
,栞,神成（R/A）,,"月1〜2 Instagram投稿インサイトを企業に提出
（VEATM）",,手放したい,,栞,,▲
,栞,神成（R/A）,,"YouTube設定　月1回　動画を企業に確認依頼の連絡
（VITAS、VEATM、極洋、Vanquish、Naturecan）",,手放したい,,栞,,▲
,栞,神成（R/A）,,YouTube設定　訂正がある場合は再アップロード,,手放したい,,栞,,▲
,栞,神成（R/A）,,"YouTube設定　訂正がある場合は動画を企業に確認依頼の連絡
（VITAS、VEATM、極洋、Vanquish、Naturecan）",,手放したい,,栞,,▲
,栞,"神成（R/A）なーすけ（C/I）
＊現在お願いしている編集チームとのやりとりがうまく行っておらず、1月末までの契約になるため、12月後半〜1月中旬にかけて編集者を探すという業務が発生
　編集者探しは、自分たちの編集のスタイルが出せるかや、細かい部分に気づくかなど選定が難しく、、神成で進めますが億劫になっております、、",,動画編集者探し,,,,,,
,"業務委託, 栞",業務委託（R）、神成（A/C/I）,,YouTubeの動画編集　テロップが正確か確認,,手放したい,・物や場所など名称は調べて正しい言葉に直せる,栞,,⚫︎
,業務委託,業務委託（R）、神成（A/C/I）,,YouTubeの動画編集　テロップとテロップの空きの調整,,手放したい,・視聴者目線で動画が見やすいかを判断して調整できる,栞,,
