No,マイルストーン（成果）,いつから,いつまで,どのくらい,補足
0,絶対日程の共有（全員が把握）,2025/12/19,2025/12/19,1日,「1/25厳守」「2月停止」などを最初に共有
1,サンプル用データ入稿（表紙＋中身1〜2P）,即時（今日〜）,数日以内,2〜3日目安,サンプル先行に切替。AI（アウトライン必須）
2,構成・中身確定（ページ割／原稿FIX）,（進行中想定）,〜2025/12/24,0日,"ここが遅れるとデザイン全部が遅れる
確認OK"
3,デザイン制作（表紙＋中面）,2025/12/25,2026/01/24,31日,初稿→修正まで含む
4,初稿提出,2026/01/15頃,2026/01/15頃,1日,初稿タイミング
5,修正対応（誤字・微調整）,2026/01/16,2026/01/24,9日,修正期間
6,簡易サンプル確認（写真/動画想定）,1月中旬,1月中旬,数日,郵送1週間だと1/25に間に合わないため
7,アラートライン：全ページデータ完成,2026/01/20頃,2026/01/20頃,1日,1/25遅延を防ぐための警戒日
8,量産開始（Go）＝全ページ入稿完了,2026/01/25,2026/01/25,1日,ここを1日でも超えると3月末納品が厳しい
9,印刷・製本（中国工場）,2026/01/26,2026/02/28,34日,ただし2月は“止まる前提”で見る
10,国際輸送・通関・国内検品,2026/03/01,2026/03/20頃,20日,春節明けで物流混雑の遅延リスクあり
11,最終納品（3/31必着）,2026/03/21,2026/03/31,11日,日本着〜納品の間は“検品・国内配送しか入らない”
